Unique ID,budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,writer,year
50,6000000,Sunbow Productions,USA,Nelson Shin,Animation,5849647,The Transformers: The Movie,PG,8/8/86,84,7.3,Orson Welles,Ron Friedman,1986
51,6000000,De Haven Productions,UK,David Anspaugh,Drama,28607524,Hoosiers,PG,2/27/87,114,7.6,Gene Hackman,Angelo Pizzo,1986
52,18000000,Gladden Entertainment,USA,Marshall Brickman,Sci-Fi,3900000,The Manhattan Project,PG-13,6/13/86,117,6.1,John Lithgow,Marshall Brickman,1986
53,111000,Maljack Productions,USA,John McNaughton,Biography,609939,Henry: Portrait of a Serial Killer,UNRATED,9/7/90,83,7,Michael Rooker,Richard Fire,1986
54,14000000,Walt Disney Pictures,USA,Ron Clements,Animation,38600000,The Great Mouse Detective,G,7/2/86,74,7.2,Vincent Price,Peter Young,1986
55,18000000,Paramount Pictures,USA,Ron Howard,Comedy,36611610,Gung Ho,PG-13,3/14/86,112,6.2,Michael Keaton,Edwin Blum,1986
56,0,Hawn / Sylbert Movie Company,USA,Michael Ritchie,Comedy,26285544,Wildcats,R,2/14/86,106,5.9,Goldie Hawn,Ezra Sacks,1986
57,10000000,De Laurentiis Entertainment Group (DEG),USA,John Guillermin,Action,4711220,King Kong Lives,PG-13,12/19/86,105,3.8,Brian Kerwin,Ronald Shusett,1986
58,0,Svenska Filminstitutet (SFI),Sweden,Andrei Tarkovsky,Drama,300653,Sacrifice,PG,1986-11,149,8.1,Erland Josephson,Andrei Tarkovsky,1986
59,0,A&M; Films,USA,Savage Steve Holland,Comedy,13431806,One Crazy Summer,PG,8/8/86,93,6.4,John Cusack,Savage Steve Holland,1986
60,19000000,Freddie Fields Productions,USA,Brian Gibson,Horror,40996665,Poltergeist II: The Other Side,PG-13,5/23/86,91,5.7,JoBeth Williams,Mark Victor,1986
61,8500000,De Laurentiis Entertainment Group (DEG),USA,John Irvin,Action,16209459,Raw Deal,R,6/6/86,106,5.5,Arnold Schwarzenegger,Luciano Vincenzoni,1986
62,12000000,Golan-Globus Productions,USA,Menahem Golan,Action,17768900,The Delta Force,R,2/14/86,125,5.6,Chuck Norris,James Bruner,1986
63,6500000,Cinema '85,USA,James Foley,Crime,2347000,At Close Range,R,4/18/86,111,7,Sean Penn,Elliott Lewitt,1986
64,0,Paramount Pictures,USA,Randa Haines,Drama,31853080,Children of a Lesser God,R,10/31/86,119,7.2,William Hurt,Mark Medoff,1986
65,0,TriStar Pictures,USA,Sidney J. Furie,Action,24159872,Iron Eagle,PG-13,1/17/86,117,5.3,Louis Gossett Jr.,Kevin Alyn Elders,1986
66,18000000,ABC Motion Pictures,USA,Harry Winer,Adventure,9697739,SpaceCamp,PG,6/6/86,107,5.6,Kate Capshaw,Clifford Green,1986
67,5000000,TriStar Pictures,USA,Fred Dekker,Comedy,591366,Night of the Creeps,R,8/22/86,88,6.8,Jason Lively,Fred Dekker,1986
68,175000,40 Acres & A Mule Filmworks,USA,Spike Lee,Comedy,7137502,She's Gotta Have It,R,8/8/86,84,6.6,Tracy Camilla Johns,Spike Lee,1986
69,0,Lorimar Productions,USA,Nick Castle,Drama,7177431,The Boy Who Could Fly,PG,9/26/86,114,6.5,Lucy Deakins,Nick Castle,1986
70,0,Blueline Productions,USA,Peter Markle,Drama,15448384,Youngblood,R,1/31/86,110,6.1,Rob Lowe,Peter Markle,1986
71,0,Seasonal Film Corporation,USA,Corey Yuen,Action,4662137,"No Retreat, No Surrender",PG,5/2/86,85,5.6,Kurt McKinney,See-Yuen Ng,1986
72,0,Warner Bros.,USA,Wes Craven,Drama,8988731,Deadly Friend,R,10/10/86,91,5.5,Matthew Labyorteaux,Diana Henstell,1986
73,15000000,Warner Bros.,USA,Michael Chapman,Adventure,1953732,The Clan of the Cave Bear,R,1/17/86,98,5.3,Daryl Hannah,Jean M. Auel,1986
74,1100000,Black Snake,USA,Jim Jarmusch,Comedy,1436000,Down by Law,R,10/30/86,107,7.8,Tom Waits,Jim Jarmusch,1986
75,0,Touchstone Pictures,USA,Jim Abrahams,Comedy,71624879,Ruthless People,R,6/27/86,93,6.9,Bette Midler,Dale Launer,1986
76,0,Police Academy Productions,USA,Jerry Paris,Comedy,43579163,Police Academy 3: Back in Training,PG,3/21/86,83,5.2,Steve Guttenberg,Neal Israel,1986
77,0,TriStar Pictures,USA,Edward Zwick,Comedy,38702310,About Last Night...,R,7/2/86,113,6.2,Rob Lowe,David Mamet,1986
78,0,Lawrence Gordon Productions,USA,Penny Marshall,Comedy,25587804,Jumpin' Jack Flash,R,10/10/86,105,5.8,Whoopi Goldberg,David Franzoni,1986
79,20000000,Paramount Pictures,USA,Mike Nichols,Comedy,25314289,Heartburn,R,7/25/86,108,6.1,Meryl Streep,Nora Ephron,1986
80,0,Religioso Primitiva,USA,Jonathan Demme,Comedy,8362969,Something Wild,R,11/7/86,114,6.9,Jeff Daniels,E. Max Frye,1986
81,0,Balcor Film Investors,USA,Steve Miner,Comedy,27820000,Soul Man,PG-13,10/24/86,104,5.2,C. Thomas Howell,Carol Black,1986
82,5000000,Paramount Pictures,USA,Fred Walton,Horror,12947763,April Fool's Day,R,3/28/86,89,6.2,Deborah Foreman,Danilo Bach,1986
83,0,Universal Pictures,USA,Anthony Perkins,Horror,14481606,Psicosis III,R,7/2/86,93,5.3,Anthony Perkins,Charles Edward Pogue,1986
84,0,De Laurentiis Entertainment Group (DEG),USA,Charles Martin Smith,Comedy,6797218,Trick or Treat,R,10/24/86,98,5.8,Marc Price,Rhet Topham,1986
85,25000000,Brooksfilms,USA,Alan Johnson,Action,1579260,Solarbabies,PG-13,11/26/86,94,4.8,Richard Jordan,Walon Green,1986
86,0,Columbia Pictures Corporation,USA,Thomas Michael Donnelly,Crime,7634909,Quicksilver,PG,2/14/86,105,5.6,Kevin Bacon,Thomas Michael Donnelly,1986
87,40000000,Carthago Films S.a.r.l.,France,Roman Polanski,Adventure,1641825,Piratas,PG-13,7/18/86,121,6.1,Walter Matthau,John Brownjohn,1986
88,10000000,Orion Pictures,USA,Robert Mandel,Action,20603715,F/X,R,2/7/86,109,6.7,Bryan Brown,Robert T. Megginson,1986
89,0,Golan-Globus Productions,USA,Gary Nelson,Action,3751699,Allan Quatermain and the Lost City of Gold,PG,1/30/87,99,4.4,Richard Chamberlain,H. Rider Haggard,1986
